Folketingsvalg
MM/DD/YYYY
11/22/2001
02/08/2005
11/13/2007
09/15/2011

SF,1959
R,1905
DF,1995
Ø,1989
C,1915
V,1870
A,1871
I,2008

SF (1959) - http://www.sf.dk/velkommen/om-sf/fakta
1992,7.786
1993,7.708
1994,7.170
1995,6.887
1996,6.573
1997,6.264
1998,6.240
1999,6.440
2000,6.473
2001,6.513
2002,7.065
2003,7.088
2004,7.026
2005,8.213
2006,8.601
2007,9.647
2008,15.630
2009,16.518
2010,17.883
2011,17.588
2012,15.633
2013,11.589

R* (1905) - http://www.radikale.dk/CMS/vis.aspx?id=7217
1975,15.800
1979,12.200
1981,10.000
1987,8.500
1990,8.000
1994,6.000
1998,6.000
2001,6.700
2002,7.500
2003,7.600
2004,9.000
2005,9.500
2006,9.500
2007,8.500
2008,7.900
2009,7.600
2010,7.300
2011,7.800
2012,9.100
2013,7.900

DF (1995) - http://www.danskfolkeparti.dk/pictures_org/CC%20beretning%20%C3%85rsm%C3%B8de%202012.pdf (pdf)
1996,900
1997,1.733
1998,3.297
1999,3.496
2000,6.433
2001,6.204
2002,6.680
2003,6.703
2004,6.615
2005,7.337
2006,8.594
2007,8.356
2008,9.973
2009,10.178
2010,10.186
2011,10.230
2012,10.684

Ø (1989) - http://www.enhedslisten.dk/parti/historie + http://t.co/WwYMvzt9AY
1992,1.082
1993,999
1994,1.093
1995,1.189
1996,1.282
1997,1.479
1998,2.023
1999,1.968
2000,1.945
2001,1.992
2002,2.366
2003,2.321
2004,2.524
2005,3.739
2006,4.127
2007,4.099
2008,4.336
2009,4.373
2010,5.111
2011,7.714
2012,?????

C (1915) - http://www.konservative.dk/partiet/historie/medlemstal
1960,108.751
1974,91.382
1990,38.500
1991,35.000
1992,32.000
1993,30.000
1994,27.640
1995,27.675
1996,25.922
1997,25.699
1998,24.105
1999,22.226
2000,21.838
2001,22.274
2002,21.031
2003,19.901
2004,19.187
2005,19.478
2006,18.035
2007,16.707
2008,15.928
2009,15.545
2010,13.864
2011,13.148
2012,12.225

V (1870) - ?
A (1871) - ?
I (2008) - ?
