name,termStart,termEnd,appointedBy
James Wilson,1789-10-05,1798-08-21,Washington
John Jay,1789-10-19,1795-06-29,Washington
William Cushing,1790-02-02,1810-09-13,Washington
John Blair,1790-02-02,1785-10-25,Washington
John Rutledge,,,Washington
James Iredell,1790-05-12,1799-10-20,Washington
Thomas Johnson,1792-08-06,1793-01-16,Washington
William Paterson,1793-03-11,1806-09-09,Washington
Samuel Chase,1796-02-04,1811-06-19,Washington
Oliver Ellsworth,1796-03-08,1800-12-15,Washington
Bushrod Washington,1799-02-04,1829-11-26,Adams, J.
Alfred Moore,1800-04-21,1804-01-26,Adams, J.
John Marshall,1801-02-04,1835-07-06,Adams, J.
William Johnson,1804-05-07,1834-08-04,Jefferson
Henry B. Livingston,1807-01-20,1823-03-18,Jefferson
Thomas Todd,1807-05-04,1826-02-07,Jefferson
Gabriel Duvall,1811-11-23,1835-01-14,Madison
Joseph Story,1812-02-03,1845-09-10,Madison
Smith Thompson,1823-09-01,1943-12-18,Monroe
Robert Trimble,1826-06-16,1828-08-25,Adams, J. Q.
John McLean,1830-01-11,1861-04-04,Jackson
Henry Baldwin,1830-01-18,1844-04-21,Jackson
James M. Wayne,1835-01-14,1867-07-05,Jackson
Roger B. Taney,1836-03-28,1864-10-12,Jackson
Philip P. Barbour,1836-05-12,1841-02-24,Jackson
John Catron,1837-05-01,1865-05-30,Jackson
John McKinley,1838-01-09,1852-07-19,Van Buren
Peter V. Daniel,1842-01-10,1860-05-31,Van Buren
Samuel Nelson,1845-02-27,1872-11-28,Tyler
Levi Woodbury,1845-09-23,1851-10-04,Polk
Robert C. Grier,1846-08-10,1870-01-31,Polk
Benjamin R. Curtis,1851-10-10,1857-09-30,Filmore
John A. Campbell,1853-04-11,1861-04-30,Pierce
Nathan Clifford,1858-01-21,1881-07-25,Buchanan
Noah H. Swayne,1862-01-27,1881-01-24,Lincoln
Samuel F. Miller,1862-07-21,1890-10-13,Lincoln
David Davis,1852-12-10,1877-03-04,Lincoln
Stephen J. Field,1863-05-20,1897-12-01,Lincoln
Salmon P. Chase,1864-12-15,1873-05-07,Lincoln
William Strong,1870-03-14,1880-12-14,Grant
Joseph P. Bradley,1870-03-23,1892-01-22,Grant
Ward Hunt,1873-01-09,1882-01-27,Grant
Morrison Waite,1874-03-04,1888-03-23,Grant
John M. Harlan,1877-12-10,1911-10-14,Hayes
William B. Woods,1881-01-05,1887-05-14,Hayes
Stanley Matthews,1881-05-17,1889-03-22,Garfield
Horace Gray,1882-01-09,1902-10-15,Arthur
Samuel Blatchford,1882-04-03,1893-07-07,Arthur
Lucius Q. C. Lamar,1888-01-18,1893-01-23,Cleveland
Melville Fuller,1888-10-08,1910-07-04,Cleveland
David J. Brewer,1890-01-06,1910-03-28,Harrison, B.
Henry B. Brown,1891-01-05,1906-05-28,Harrison, B.
George Shiras, Jr.,1892-10-10,1903-02-23,Harrison, B.
Howell E. Jackson,1893-03-04,1895-08-08,Harrison, B.
Edward D. White,1894-03-12,1921-05-19,
Rufus W. Peckham,1896-01-06,1909-10-24,Cleveland
Joseph McKenna,1898-01-26,1925-01-05,McKinley
Oliver W. Holmes,1902-12-08,1932-01-12,Roosevelt, T.
William R. Day,1903-03-02,1922-11-13,Roosevelt, T.
William H. Moody,1906-12-17,1910-11-20,Roosevelt, T.
Horace H. Lurton,1910-01-03,1914-07-12,Taft
Charles E. Hughes,,,Taft
Willis Van Devanter,1911-01-03,1937-06-02,Taft
Joseph R. Lamar,1911-01-03,1916-01-02,Taft
Mahlon Pitney,1912-03-18,1922-12-31,Taft
James C. McReynolds,1914-10-12,1941-01-31,Wilson
